,sentence,item,type,condition,patient,agent,context_had,target,item_num_original
0,The aquarium visitor wondered which fish the penguins had eaten from the large bucket.,1,reversal,canonical,fish,penguins,The aquarium visitor wondered which fish the penguins had,eaten,1
1,The aquarium visitor wondered which penguins the fish had eaten from the large bucket.,1,reversal,reversed,penguins,fish,The aquarium visitor wondered which penguins the fish had,eaten,1
2,The aquarium visitor wondered which fish the penguins had swum from through the cold water.,1,alternative,alt_reversed,fish,penguins,The aquarium visitor wondered which fish the penguins had,swum from,1
3,The aquarium visitor wondered which penguins the fish had swum from through the cold water.,1,alternative,alt_canonical,penguins,fish,The aquarium visitor wondered which penguins the fish had,swum from,1
4,The superintendent overheard which tenant the landlord had evicted from the apartment.,2,reversal,canonical,tenant,landlord,The superintendent overheard which tenant the landlord had,evicted,2
5,The superintendent overheard which landlord the tenant had evicted from the apartment.,2,reversal,reversed,landlord,tenant,The superintendent overheard which landlord the tenant had,evicted,2
6,The superintendent overheard which tenant the landlord had complained about for overcharging rent.,2,alternative,alt_reversed,tenant,landlord,The superintendent overheard which tenant the landlord had,complained about,2
7,The superintendent overheard which landlord the tenant had complained about for overcharging rent.,2,alternative,alt_canonical,landlord,tenant,The superintendent overheard which landlord the tenant had,complained about,2
8,The Roman emperor asked which god the gladiator had prayed to before the dangerous fight.,3,reversal,canonical,god,gladiator,The Roman emperor asked which god the gladiator had,prayed to,3
9,The Roman emperor asked which gladiator the god had prayed to before the dangerous fight.,3,reversal,reversed,gladiator,god,The Roman emperor asked which gladiator the god had,prayed to,3
10,The Roman emperor asked which god the gladiator had blessed with superhuman strength.,3,alternative,alt_reversed,god,gladiator,The Roman emperor asked which god the gladiator had,blessed,3
11,The Roman emperor asked which gladiator the god had blessed with superhuman strength.,3,alternative,alt_canonical,gladiator,god,The Roman emperor asked which gladiator the god had,blessed,3
12,The scientist noted which antelope the lion had killed after a short chase.,4,reversal,canonical,antelope,lion,The scientist noted which antelope the lion had,killed,4
13,The scientist noted which lion the antelope had killed after a short chase.,4,reversal,reversed,lion,antelope,The scientist noted which lion the antelope had,killed,4
14,The scientist noted which antelope the lion had run from without any success.,4,alternative,alt_reversed,antelope,lion,The scientist noted which antelope the lion had,run from,4
15,The scientist noted which lion the antelope had run from without any success.,4,alternative,alt_canonical,lion,antelope,The scientist noted which lion the antelope had,run from,4
16,The secretary confirmed which illustrator the author had chosen for the novel.,5,reversal,canonical,illustrator,author,The secretary confirmed which illustrator the author had,chosen,5
17,The secretary confirmed which author the illustrator had chosen for the novel.,5,reversal,reversed,author,illustrator,The secretary confirmed which author the illustrator had,chosen,5
18,The secretary confirmed which illustrator the author had drawn for in the new children's novel.,5,alternative,alt_reversed,illustrator,author,The secretary confirmed which illustrator the author had,drawn for,5
19,The secretary confirmed which author the illustrator had drawn for in the new children's novel.,5,alternative,alt_canonical,author,illustrator,The secretary confirmed which author the illustrator had,drawn for,5
20,The homeowner asked which wasps the exterminator had killed in the local park.,6,reversal,canonical,wasps,exterminator,The homeowner asked which wasps the exterminator had,killed,7
21,The homeowner asked which exterminator the wasps had killed in the local park.,6,reversal,reversed,exterminator,wasps,The homeowner asked which exterminator the wasps had,killed,7
22,The homeowner asked which wasps the exterminator had stung in the local park.,6,alternative,alt_reversed,wasps,exterminator,The homeowner asked which wasps the exterminator had,stung,7
23,The homeowner asked which exterminator the wasps had stung in the local park.,6,alternative,alt_canonical,exterminator,wasps,The homeowner asked which exterminator the wasps had,stung,7
24,The Indians asked which buffalo the pioneers had killed during the stampede.,7,reversal,canonical,buffalo,pioneers,The Indians asked which buffalo the pioneers had,killed,8
25,The Indians asked which pioneers the buffalo had killed during the stampede.,7,reversal,reversed,pioneers,buffalo,The Indians asked which pioneers the buffalo had,killed,8
26,The Indians asked which buffalo the pioneers had trampled during the stampede.,7,alternative,alt_reversed,buffalo,pioneers,The Indians asked which buffalo the pioneers had,trampled,8
27,The Indians asked which pioneers the buffalo had trampled during the stampede.,7,alternative,alt_canonical,pioneers,buffalo,The Indians asked which pioneers the buffalo had,trampled,8
28,The historian documented which prince the assassin had killed at the masquerade ball.,8,reversal,canonical,prince,assassin,The historian documented which prince the assassin had,killed,9
29,The historian documented which assassin the prince had killed at the masquerade ball.,8,reversal,reversed,assassin,prince,The historian documented which assassin the prince had,killed,9
30,The historian documented which prince the assassin had avoided on the battlefield.,8,alternative,alt_reversed,prince,assassin,The historian documented which prince the assassin had,avoided,9
31,The historian documented which assassin the prince had avoided on the battlefield.,8,alternative,alt_canonical,assassin,prince,The historian documented which assassin the prince had,avoided,9
32,The naturalist observed which predators the deer had avoided in the woods.,9,reversal,canonical,predators,deer,The naturalist observed which predators the deer had,avoided,10
33,The naturalist observed which deer the predators had avoided in the woods.,9,reversal,reversed,deer,predators,The naturalist observed which deer the predators had,avoided,10
34,The naturalist observed which predators the deer had hunted through the woods.,9,alternative,alt_reversed,predators,deer,The naturalist observed which predators the deer had,hunted,10
35,The naturalist observed which deer the predators had hunted through the woods.,9,alternative,alt_canonical,deer,predators,The naturalist observed which deer the predators had,hunted,10
36,The nanny knew which housekeeper the billionaire had hired at a high salary.,10,reversal,canonical,housekeeper,billionaire,The nanny knew which housekeeper the billionaire had,hired,11
37,The nanny knew which billionaire the housekeeper had hired at a high salary.,10,reversal,reversed,billionaire,housekeeper,The nanny knew which billionaire the housekeeper had,hired,11
38,The nanny knew which housekeeper the billionaire had worked for for many years.,10,alternative,alt_reversed,housekeeper,billionaire,The nanny knew which housekeeper the billionaire had,worked for,11
39,The nanny knew which billionaire the housekeeper had worked for for many years.,10,alternative,alt_canonical,billionaire,housekeeper,The nanny knew which billionaire the housekeeper had,worked for,11
40,The park ranger documented which elephant the poacher had killed in the national park.,11,reversal,canonical,elephant,poacher,The park ranger documented which elephant the poacher had,killed,12
41,The park ranger documented which poacher the tiger had killed in the national park.,11,reversal,reversed,poacher,tiger,The park ranger documented which poacher the tiger had,killed,12
42,The park ranger documented which tiger the poacher had mauled in the national park.,11,alternative,alt_reversed,tiger,poacher,The park ranger documented which tiger the poacher had,mauled,12
43,The park ranger documented which poacher the elephant had mauled in the national park.,11,alternative,alt_canonical,poacher,elephant,The park ranger documented which poacher the elephant had,mauled,12
44,The restaurant owner forgot which customer the waitress had served at brunch that morning.,12,reversal,canonical,customer,waitress,The restaurant owner forgot which customer the waitress had,served,14
45,The restaurant owner forgot which waitress the customer had served at brunch that morning.,12,reversal,reversed,waitress,customer,The restaurant owner forgot which waitress the customer had,served,14
46,The restaurant owner forgot which customer the waitress had tipped at brunch that morning.,12,alternative,alt_reversed,customer,waitress,The restaurant owner forgot which customer the waitress had,tipped,14
