Unnamed: 0,sentence,item,type,condition,patient,agent,context_had,target,patient_pos,agent_pos,target_pos,gpt2_surprisal,gpt2-medium_surprisal,gpt2-large_surprisal,bert-base-uncased_surprisal
0,the aquarium visitor wondered which fish the penguins had eaten during the performance.,1,substitution,high-cloze,fish,penguins,The aquarium visitor wondered which fish the penguins had,eaten,5.0,7.0,9.0,3.4472477436065674,2.1689627170562744,3.555229425430298,1.7308073043823242
1,the aquarium visitor wondered which trainer the penguins had eaten during the performance. ,1,substitution,low-cloze,trainer,penguins,The aquarium visitor wondered which trainer the penguins had,eaten,5.0,7.0,9.0,7.055030822753906,7.5127854347229,8.1339693069458,4.924632549285889
2,the storyteller explained which dragon the prince had slain with his sword.,2,substitution,high-cloze,dragon,prince,The storyteller explained which dragon the prince had,slain,4.0,6.0,8.0,6.005204677581787,5.0978851318359375,4.717081069946289,3.009920597076416
3,the storyteller explained which princess the prince had slain with his sword.,2,substitution,low-cloze,princess,prince,The storyteller explained which princess the prince had,slain,4.0,6.0,8.0,9.635276794433594,9.53329849243164,9.329081535339355,3.3261842727661133
4,the superintendent overheard which tenant the landlord had evicted at the end of may.,3,substitution,high-cloze,tenant,landlord,The superintendent overheard which tenant the landlord had,evicted,4.0,6.0,8.0,7.79185436014086,7.724668228533119,9.403072031447664,3.435920238494873
5,the superintendent overheard which realtor the landlord had evicted at the end of may.,3,substitution,low-cloze,realtor,landlord,The superintendent overheard which realtor the landlord had,evicted,4.0,6.0,8.0,10.665015682578089,11.354982985183597,14.073877890594304,7.488919258117676
6,the butler speculated which guests the master had invited to the party.,4,substitution,high-cloze,guests,master,The butler speculated which guests the master had,invited,4.0,6.0,8.0,5.36777400970459,4.203256130218506,3.887552261352539,0.29020214080810547
7,the butler speculated which servants the master had invited to the party.,4,substitution,low-cloze,servants,master,The butler speculated which servants the master had,invited,4.0,6.0,8.0,9.387280464172363,7.394659519195557,6.856844902038574,2.534647226333618
8,the priest mentioned which nonbeliever the nun had converted on her mission trip.,5,substitution,high-cloze,nonbeliever,nun,The priest mentioned which nonbeliever the nun had,converted,4.0,6.0,8.0,8.151955604553223,7.322201251983643,6.054093360900879,14.305756568908691
9,the priest mentioned which archbishop the nun had converted on her mission trip.,5,substitution,low-cloze,archbishop,nun,The priest mentioned which archbishop the nun had,converted,4.0,6.0,8.0,8.756101608276367,8.94261360168457,8.194450378417969,12.723583221435547
10,the sheriff boasted which horse the cowboy had ridden across the town.,6,substitution,high-cloze,horse,cowboy,The sheriff boasted which horse the cowboy had,ridden,4.0,6.0,8.0,3.1067826747894287,2.478410243988037,3.0815107822418213,2.7322540283203125
11,the sheriff boasted which bandit the cowboy had ridden across the town.,6,substitution,low-cloze,bandit,cowboy,The sheriff boasted which bandit the cowboy had,ridden,4.0,6.0,8.0,8.136512756347656,10.32687282562256,11.089330673217772,9.04513168334961
12,mr. stevens revealed which clerk the manager had fired for being lazy.,7,substitution,high-cloze,clerk,manager,Mr. Stevens revealed which clerk the manager had,fired,4.0,6.0,8.0,5.978766441345215,6.80981969833374,7.972650527954102,1.0502127408981323
13,mr. stevens revealed which customer the manager had fired for being lazy.,7,substitution,low-cloze,customer,manager,Mr. Stevens revealed which customer the manager had,fired,4.0,6.0,8.0,8.179770469665527,7.325029850006103,8.079964637756348,1.1161977052688599
14,the secret serviceman concealed which ex-president the agent had protected from the terrorists. ,8,substitution,high-cloze,ex-president,agent,The secret serviceman concealed which ex-president the agent had,protected,5.0,7.0,9.0,11.486008644104004,10.27432632446289,10.09681224822998,5.3021345138549805
15,the secret serviceman concealed which assassin the agent had protected from the terrorists.,8,substitution,low-cloze,assassin,agent,The secret serviceman concealed which assassin the agent had,protected,5.0,7.0,9.0,12.707443237304688,11.687148094177246,10.324996948242188,6.700175762176514
16,the roman emperor asked which god the gladiator had worshipped for strength in battle.,9,substitution,high-cloze,god,gladiator,The Roman emperor asked which god the gladiator had,worshipped,5.0,7.0,9.0,7.159585475921631,4.947597026824951,1.8915257453918457,5.53080940246582
17,the roman emperor asked which adversary the gladiator had worshipped for strength in battle. ,9,substitution,low-cloze,adversary,gladiator,The Roman emperor asked which adversary the gladiator had,worshipped,5.0,7.0,9.0,15.479935646057127,14.449712753295898,13.344886779785156,11.324278831481934
18,the author revealed which maiden the hero had saved from the tower.,10,substitution,high-cloze,maiden,hero,The author revealed which maiden the hero had,saved,4.0,6.0,8.0,9.169057846069336,4.789691925048828,5.375012874603272,6.385876655578613
19,the author revealed which ogre the hero had saved from the tower.,10,substitution,low-cloze,ogre,hero,The author revealed which ogre the hero had,saved,4.0,6.0,8.0,8.300020217895508,4.80055570602417,5.32825231552124,6.83221435546875
20,the columnist publicized which billionaire the supermodel had married on public television. ,11,substitution,high-cloze,billionaire,supermodel,The columnist publicized which billionaire the supermodel had,married,4.0,6.0,8.0,5.807257175445557,7.071034908294678,5.461606025695801,7.584136486053467
21,the columnist publicized which stylist the supermodel had married on public television.,11,substitution,low-cloze,stylist,supermodel,The columnist publicized which stylist the supermodel had,married,4.0,6.0,8.0,6.270382881164551,8.805709838867188,10.456829071044922,5.571117877960205
22,the iranian scholar researched which camels the persians had ridden across the desert.,12,substitution,high-cloze,camels,Persians,The Iranian scholar researched which camels the Persians had,ridden,5.0,7.0,9.0,8.086981773376465,7.510429859161377,8.18346118927002,6.919566631317139
23,the iranian scholar researched which soldiers the persians had ridden across the desert.,12,substitution,low-cloze,soldiers,Persians,The Iranian scholar researched which soldiers the Persians had,ridden,5.0,7.0,9.0,12.245099067687988,14.996831893920898,14.51763153076172,8.301117897033691
24,the beggar saw which leper the saint had cured in the street.,13,substitution,high-cloze,leper,saint,The beggar saw which leper the saint had,cured,4.0,6.0,8.0,12.42328929901123,4.273204803466797,6.31326150894165,11.314041137695312
25,the beggar saw which prophet the saint had cured in the street.,13,substitution,low-cloze,prophet,saint,The beggar saw which prophet the saint had,cured,4.0,6.0,8.0,12.933491706848145,10.240182876586914,9.25128936767578,14.646689414978027
26,the historian recorded which patriot the king had knighted at the ceremony.,14,substitution,high-cloze,patriot,king,The historian recorded which patriot the king had,knighted,4.0,6.0,8.0,14.819224528968334,12.401374297682196,13.222809352912009,11.83598518371582
27,the historian recorded which traitor the king had knighted at the ceremony.,14,substitution,low-cloze,traitor,king,The historian recorded which traitor the king had,knighted,4.0,6.0,8.0,16.600162122398615,13.434657278470697,14.210414894856513,11.722742080688477
28,the monk recalled which sinner the priest had forgiven in church yesterday.,15,substitution,high-cloze,sinner,priest,The monk recalled which sinner the priest had,forgiven,4.0,6.0,8.0,9.695363998413086,8.293328285217285,8.302064895629883,11.788105964660645
29,the monk recalled which cardinal the priest had forgiven in church yesterday.,15,substitution,low-cloze,cardinal,priest,The monk recalled which cardinal the priest had,forgiven,4.0,6.0,8.0,12.278295516967772,11.578103065490724,14.375672340393066,15.23789119720459
30,the scientist noted which antelope the lion had eaten for his dinner.,16,substitution,high-cloze,antelope,lion,The scientist noted which antelope the lion had,eaten,4.0,6.0,8.0,4.233634948730469,3.293140411376953,3.892594814300537,4.680429458618164
31,the scientist noted which cub the lion had eaten for his dinner.,16,substitution,low-cloze,cub,lion,The scientist noted which cub the lion had,eaten,4.0,6.0,8.0,6.061196804046631,3.6473641395568848,4.6451520919799805,4.653174877166748
32,the secretary confirmed which illustrator the author had hired for the new book.,17,substitution,high-cloze,illustrator,author,The secretary confirmed which illustrator the author had,hired,4.0,6.0,8.0,6.713134765625,3.983107089996338,6.153548717498779,6.222042083740234
33,the secretary confirmed which readers the author had hired for the new book.,17,substitution,low-cloze,readers,author,The secretary confirmed which readers the author had,hired,4.0,6.0,8.0,10.978205680847168,8.613452911376953,10.188850402832031,5.856543064117432
34,the stenographer recorded which defendant the judge had sentenced to fifteen years.,18,substitution,high-cloze,defendant,judge,The stenographer recorded which defendant the judge had,sentenced,4.0,6.0,8.0,5.634943962097168,5.43489408493042,6.779620170593262,0.16732949018478394
35,the stenographer recorded which lawyer the judge had sentenced to fifteen years.,18,substitution,low-cloze,lawyer,judge,The stenographer recorded which lawyer the judge had,sentenced,4.0,6.0,8.0,10.204795837402344,9.190235137939451,10.685949325561523,0.42808133363723755
36,spencer guessed which agent the actress had hired to promote her career.,19,substitution,high-cloze,agent,actress,Spencer guessed which agent the actress had,hired,3.0,5.0,7.0,7.354022026062012,6.1584649085998535,5.986149787902832,0.8970945477485657
37,spencer guessed which admirer the actress had hired to promote her career.,19,substitution,low-cloze,admirer,actress,Spencer guessed which admirer the actress had,hired,3.0,5.0,7.0,9.631842613220217,8.614509582519531,9.062050819396973,3.222280740737915
38,the editor listed which orphans the philanthropist had adopted from the faraway place.,20,substitution,high-cloze,orphans,philanthropist,The editor listed which orphans the philanthropist had,adopted,4.0,6.0,8.0,6.412184715270996,5.574934482574463,5.394787311553955,8.578025817871094
39,the editor listed which volunteers the philanthropist had adopted from the faraway place.,20,substitution,low-cloze,volunteers,philanthropist,The editor listed which volunteers the philanthropist had,adopted,4.0,6.0,8.0,11.134745597839355,11.15854263305664,11.988258361816406,9.672550201416016
40,the farmer remembered which pig the butcher had slaughtered in his kitchen.,21,substitution,high-cloze,pig,butcher,The farmer remembered which pig the butcher had,slaughtered,4.0,6.0,8.0,6.619697570800781,6.49745512008667,4.987069129943848,6.1016387939453125
41,the farmer remembered which vegetarian the butcher had slaughtered in his kitchen.,21,substitution,low-cloze,vegetarian,butcher,The farmer remembered which vegetarian the butcher had,slaughtered,4.0,6.0,8.0,7.888472557067871,6.810766220092773,7.281115055084228,8.751120567321777
42,the homeowner asked which insects the exterminator had killed when he came over.,22,substitution,high-cloze,insects,exterminator,The homeowner asked which insects the exterminator had,killed,4.0,6.0,8.0,4.895567417144775,3.037075996398926,4.832744121551514,5.086254596710205
43,the homeowner asked which plumber the exterminator had killed when he came over.,22,substitution,low-cloze,plumber,exterminator,The homeowner asked which plumber the exterminator had,killed,4.0,6.0,8.0,7.894163131713867,9.238544464111328,12.306434631347656,2.6519572734832764
44,the barkeeper knew which barmaids the regulars had tipped for their drinks.,23,substitution,high-cloze,barmaids,regulars,The barkeeper knew which barmaids the regulars had,tipped,4.0,6.0,8.0,10.70687484741211,11.074274063110352,8.193570137023926,11.095487594604492
45,the barkeeper knew which troublemakers the regulars had tipped for their drinks.,23,substitution,low-cloze,troublemakers,regulars,The barkeeper knew which troublemakers the regulars had,tipped,4.0,6.0,8.0,12.17060375213623,12.335729598999023,11.56471347808838,10.095890998840332
46,the ethnographer asked which deer the indians had hunted with bows and arrows.,24,substitution,high-cloze,deer,Indians,The ethnographer asked which deer the Indians had,hunted,4.0,6.0,8.0,3.001083374023437,3.596215009689331,4.617233276367188,5.16853666305542
47,the ethnographer asked which babies the indians had hunted with bows and arrows.,24,substitution,low-cloze,babies,Indians,The ethnographer asked which babies the Indians had,hunted,4.0,6.0,8.0,11.74350357055664,13.246747970581056,15.236834526062012,8.065914154052734
48,the historian knew which princess the king had married at the royal palace.,25,substitution,high-cloze,princess,king,The historian knew which princess the king had,married,4.0,6.0,8.0,4.532505035400391,4.084766864776611,3.619969367980957,2.688330888748169
49,the historian knew which prince the king had married at the royal palace.,25,substitution,low-cloze,prince,king,The historian knew which prince the king had,married,4.0,6.0,8.0,6.970168113708496,4.704608917236328,5.405224323272705,6.7254638671875
50,the journalist reported which opponent the politician had defeated by a wide margin.,26,substitution,high-cloze,opponent,politician,The journalist reported which opponent the politician had,defeated,4.0,6.0,8.0,7.1322221755981445,8.390265464782715,8.098345756530762,5.270533561706543
